DIA|HORA|BOT|PROCESO|COMENTARIO|ESTADO
2023-01-17|11:05:41.740||GENERAR REPORTE SAP|Inicio del proceso principal|SATISFACTORIO
2023-01-17|11:44:41.150||ELIMINAR REGISTROS DE PDF EN LA TABLA DEL SISTEMA|Inicio del proceso de eliminar datos de tabla|SATISFACTORIO
2023-01-17|12:55:22.240||VALIDACION DE EXISTENCIA DE CORREO|Inicio del proceso principal de la Automatización de Boletas y Constancias de Pago|SATISFACTORIO
2023-01-17|12:55:22.880||VALIDACION DE EXISTENCIA DE CORREO|ENVÍO DE CORREO AL NO ENCONTRAR ARCHIVOS EN EL COMPARTIDO|SATISFACTORIO
2023-01-17|12:55:22.890||VALIDACION DE EXISTENCIA DE CORREO|Fin del proceso principal de la Automatización de Boletas y Constancias de Pago|SATISFACTORIO
2023-01-17|12:55:22.890||VALIDACION DE EXISTENCIA DE CORREO|Fin del proceso principal de la Automatización de Boletas y Constancias de Pago|SATISFACTORIO
2023-01-17|13:54:06.230||VALIDACION DE EXISTENCIA DE CORREO|Inicio del proceso principal de la Automatización de Boletas y Constancias de Pago|SATISFACTORIO
2023-01-17|13:54:06.340||VALIDACION DE EXISTENCIA DE CORREO|ENVÍO DE CORREO AL NO ENCONTRAR ARCHIVOS EN EL COMPARTIDO|SATISFACTORIO
2023-01-17|13:54:06.350||VALIDACION DE EXISTENCIA DE CORREO|Fin del proceso principal de la Automatización de Boletas y Constancias de Pago|SATISFACTORIO
2023-01-17|14:01:20.070||VALIDACION DE EXISTENCIA DE CORREO|Inicio del proceso principal de la Automatización de Boletas y Constancias de Pago|SATISFACTORIO
2023-01-17|14:01:20.460||VALIDACION DE EXISTENCIA DE CORREO|Transporte de valores desde el compartido al sistema |SATISFACTORIO
2023-01-17|14:03:59.820||VALIDACION DE EXISTENCIA DE CORREO|Inicio del proceso principal de la Automatización de Boletas y Constancias de Pago|SATISFACTORIO
2023-01-17|14:04:00.160||VALIDACION DE EXISTENCIA DE CORREO|Transporte de valores desde el compartido al sistema |SATISFACTORIO
2023-01-17|14:04:01.500||PEGADO DE REPORTE DE SAP|Inicio del proceso de Pegado de Reporte de Sap en Excel|SATISFACTORIO
2023-01-17|14:04:01.500||ELIMINAR  REPORTE DE SAP|Inicio del proceso de eliminar el reporte existente de Sap en Excel|SATISFACTORIO
2023-01-17|14:04:01.510||ELIMINAR  REPORTE DE SAP|Final del proceso de eliminar el reporte existente de Sap en Excel|SATISFACTORIO
2023-01-17|14:04:02.370||PEGADO DE REPORTE DE SAP|Proceso correcto de pegado de reporte Sap|SATISFACTORIO
2023-01-17|14:04:02.370||PEGADO DE REPORTE DE SAP|Final del proceso de Pegado de Reporte de Sap en Excel|SATISFACTORIO
2023-01-17|14:04:02.380||ELIMINAR REGISTROS DE PDF EN LA TABLA DEL SISTEMA|Inicio del proceso de eliminar datos de tabla|SATISFACTORIO
2023-01-17|14:04:02.390||ELIMINAR REGISTROS DE PDF EN LA TABLA DEL SISTEMA|Fin del proceso de eliminar datos de tabla|SATISFACTORIO
2023-01-17|14:04:02.390||COPIA PDF´S DESDE RUTA DE DHO|Inicio del proceso de importación de los pdf´s de la ruta de DHO a carpeta de procesamiento|SATISFACTORIO
2023-01-17|14:04:02.590||COPIA PDF´S DESDE RUTA DE DHO|PDF #1ha sido copiado|SATISFACTORIO
2023-01-17|14:04:02.770||COPIA PDF´S DESDE RUTA DE DHO|PDF #2ha sido copiado|SATISFACTORIO
2023-01-17|14:04:39.620||VALIDACION DE EXISTENCIA DE CORREO|Inicio del proceso principal de la Automatización de Boletas y Constancias de Pago|SATISFACTORIO
2023-01-17|14:04:39.970||VALIDACION DE EXISTENCIA DE CORREO|Transporte de valores desde el compartido al sistema |SATISFACTORIO
2023-01-17|14:04:41.400||PEGADO DE REPORTE DE SAP|Inicio del proceso de Pegado de Reporte de Sap en Excel|SATISFACTORIO
2023-01-17|14:04:41.410||ELIMINAR  REPORTE DE SAP|Inicio del proceso de eliminar el reporte existente de Sap en Excel|SATISFACTORIO
